"Reference","Value","Footprint","Datasheet","数量"
"R20","0","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","R-25000","1"
"R21","100k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","R-25104","1"
"R22","22k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","R-25223","1"
"R23","NM","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","1"
"R24","4.7k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","R-25472","1"
"R25","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","R-25103","1"
"R26","10k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","R-25103","1"
"R28","0","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","R-25000","1"
"R29","NM","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","1"
"R31","0","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","R-25000","1"
"R32","NM","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","1"
"R33","NM","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","~","1"
"R34","NM","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","R-25103","1"
"R35","10","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","R-25100","1"
"R38","3.3k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","R-25332","1"
"R39","3.3k","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical","R-25332","1"
"RV11","2k","Potentiometer_THT:Potentiometer_Bourns_3386P_Vertical","P-14902","1"
"S1","SW_SPDT","digikey-footprints:Switch_Slide_11.6x4mm_EG1218","P-12723","1"
"S2","SW_Push","usr-Library:Switch_2P","P-08080","1"
"S3","NM","usr-Library:Switch_2P","P-08080","1"
"S4","NM","usr-Library:Switch_2P","P-08080","1"
"TP1","GND","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","C-00167","1"
"TP2","M3","MountingHole:MountingHole_3.5mm_Pad","~","1"
"TP3","M3","MountingHole:MountingHole_3.5mm_Pad","~","1"
"TP4","M3","MountingHole:MountingHole_3.5mm_Pad","~","1"
"TP5","M3","MountingHole:MountingHole_3.5mm_Pad","~","1"
"TP31","NM","usr-Library:PinHeader_1x01","C-00167","1"
"X31","Crystal","UserLib:HC49","aitendo","1"
